"TENo","count","inv.mean","inv.std.dev","participants.mean","distinct.cc","Status","Department  _","Department B _","Department C _","Department D _","Department E _","Department F _","Department G _","Department H _","Department I _","Department J _","Department K _","Department M _","Department N _","Department Q _","Department R _","Department S _","Department T _","Department U _","Department V _","Department W _","Department X _","Department Y _","Department Z _","status.bin"
"CN201401010118",9,0.0897656773333333,0.0424651919462948,0,1,"Approval",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010119",4,0.20975523375,0.201068517225988,7.75,1,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010120",8,0.10116911025,0.0560110090552494,0.5,4,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010121",4,0.205590609,0.192556102462172,6.75,3,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010122",2,0.4074641115,0.373485044305249,7,1,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010123",4,0.20326330325,0.287420342150423,2.75,3,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010124",13,0.0635734100769231,0.138607781982139,1.61538461538462,4,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010125",15,0.0546456506666667,0.0959214046349353,3.06666666666667,2,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010126",16,0.05334369175,0.0985666029400924,5.0625,2,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010127",25,0.03334466972,0.0848763560250072,1.16,5,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010128",4,0.204329277,0.177639408976981,4.75,3,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010129",3,0.269963796333333,0.18939416557183,0.666666666666667,3,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
